mode,k,update_bytes,alloc,packetsize_bytes,repeats,elapsed_s,IOPS,throughput_MBps,success
seq,5,1024,sequential,1024,20000,0.538797,37120,36.25,1
opt,5,1024,auto,1024,20000,0.184879,108179,105.64,1
parix,5,1024,sequential,1024,20000,0.127443,156933,153.25,1
parix_opt,5,1024,auto,1024,20000,0.132493,150951,147.41,1
seq,5,2048,sequential,1024,20000,0.562809,35536,69.41,1
opt,5,2048,auto,1024,20000,0.322439,62027,121.15,1
parix,5,2048,sequential,1024,20000,0.189793,105378,205.82,1
parix_opt,5,2048,auto,1024,20000,0.181881,109962,214.77,1
seq,5,4096,sequential,1024,20000,0.706486,28309,110.58,1
opt,5,4096,auto,1024,20000,0.380009,52630,205.59,1
parix,5,4096,sequential,1024,20000,0.305575,65450,255.67,1
parix_opt,5,4096,auto,1024,20000,0.309578,64604,252.36,1
seq,5,8192,sequential,1024,20000,0.785528,25461,198.91,1
opt,5,8192,auto,1024,20000,0.552518,36198,282.80,1
parix,5,8192,sequential,1024,20000,0.552762,36182,282.67,1
parix_opt,5,8192,auto,1024,20000,0.559616,35739,279.21,1
seq,5,16384,sequential,1024,20000,1.638655,12205,190.71,1
opt,5,16384,auto,1024,20000,1.075895,18589,290.46,1
parix,5,16384,sequential,1024,20000,1.067260,18740,292.81,1
parix_opt,5,16384,auto,1024,20000,1.068793,18713,292.39,1
seq,5,32768,sequential,1024,20000,2.349684,8512,265.99,1
opt,5,32768,auto,1024,20000,2.859939,6993,218.54,1
parix,5,32768,sequential,1024,20000,2.027216,9866,308.30,1
parix_opt,5,32768,auto,1024,20000,2.002590,9987,312.10,1
seq,7,1024,sequential,1024,20000,0.530192,37722,36.84,1
opt,7,1024,auto,1024,20000,0.197324,101356,98.98,1
parix,7,1024,sequential,1024,20000,0.127310,157097,153.41,1
parix_opt,7,1024,auto,1024,20000,0.123938,161371,157.59,1
seq,7,2048,sequential,1024,20000,0.542239,36884,72.04,1
opt,7,2048,auto,1024,20000,0.255833,78176,152.69,1
parix,7,2048,sequential,1024,20000,0.194019,103083,201.33,1
parix_opt,7,2048,auto,1024,20000,0.197182,101429,198.10,1
seq,7,4096,sequential,1024,20000,0.720028,27777,108.50,1
opt,7,4096,auto,1024,20000,0.461350,43351,169.34,1
parix,7,4096,sequential,1024,20000,0.310730,64365,251.42,1
parix_opt,7,4096,auto,1024,20000,0.310846,64341,251.33,1
seq,7,8192,sequential,1024,20000,0.874119,22880,178.75,1
opt,7,8192,auto,1024,20000,0.639039,31297,244.51,1
parix,7,8192,sequential,1024,20000,0.562393,35562,277.83,1
parix_opt,7,8192,auto,1024,20000,0.542666,36855,287.93,1
seq,7,16384,sequential,1024,20000,1.471991,13587,212.30,1
opt,7,16384,auto,1024,20000,1.217469,16428,256.68,1
parix,7,16384,sequential,1024,20000,1.031372,19392,302.99,1
parix_opt,7,16384,auto,1024,20000,1.042152,19191,299.86,1
seq,7,32768,sequential,1024,20000,2.396765,8345,260.77,1
opt,7,32768,auto,1024,20000,2.635137,7590,237.18,1
parix,7,32768,sequential,1024,20000,1.999332,10003,312.60,1
parix_opt,7,32768,auto,1024,20000,1.986650,10067,314.60,1
seq,11,1024,sequential,1024,20000,0.516416,38728,37.82,1
opt,11,1024,auto,1024,20000,0.191119,104647,102.19,1
parix,11,1024,sequential,1024,20000,0.131678,151886,148.33,1
parix_opt,11,1024,auto,1024,20000,0.128201,156005,152.35,1
seq,11,2048,sequential,1024,20000,0.558557,35807,69.93,1
opt,11,2048,auto,1024,20000,0.328246,60930,119.00,1
parix,11,2048,sequential,1024,20000,0.189995,105266,205.60,1
parix_opt,11,2048,auto,1024,20000,0.188316,106204,207.43,1
seq,11,4096,sequential,1024,20000,0.711614,28105,109.79,1
opt,11,4096,auto,1024,20000,0.423747,47198,184.37,1
parix,11,4096,sequential,1024,20000,0.318345,62825,245.41,1
parix_opt,11,4096,auto,1024,20000,0.314698,63553,248.25,1
seq,11,8192,sequential,1024,20000,1.083167,18464,144.25,1
opt,11,8192,auto,1024,20000,0.820899,24364,190.34,1
parix,11,8192,sequential,1024,20000,0.550795,36311,283.68,1
parix_opt,11,8192,auto,1024,20000,0.558920,35783,279.56,1
seq,11,16384,sequential,1024,20000,1.375385,14541,227.21,1
opt,11,16384,auto,1024,20000,1.216963,16434,256.79,1
parix,11,16384,sequential,1024,20000,1.050016,19047,297.61,1
parix_opt,11,16384,auto,1024,20000,1.040655,19219,300.29,1
seq,11,32768,sequential,1024,20000,2.698066,7413,231.65,1
opt,11,32768,auto,1024,20000,2.577238,7760,242.51,1
parix,11,32768,sequential,1024,20000,2.000117,9999,312.48,1
parix_opt,11,32768,auto,1024,20000,2.003198,9984,312.00,1
seq,13,1024,sequential,1024,20000,0.548156,36486,35.63,1
opt,13,1024,auto,1024,20000,0.172168,116166,113.44,1
parix,13,1024,sequential,1024,20000,0.135192,147938,144.47,1
parix_opt,13,1024,auto,1024,20000,0.126836,157684,153.99,1
seq,13,2048,sequential,1024,20000,0.581542,34391,67.17,1
opt,13,2048,auto,1024,20000,0.323712,61783,120.67,1
parix,13,2048,sequential,1024,20000,0.201620,99197,193.74,1
parix_opt,13,2048,auto,1024,20000,0.197852,101085,197.43,1
seq,13,4096,sequential,1024,20000,0.704244,28399,110.93,1
opt,13,4096,auto,1024,20000,0.448111,44632,174.34,1
parix,13,4096,sequential,1024,20000,0.316495,63192,246.84,1
parix_opt,13,4096,auto,1024,20000,0.314655,63562,248.29,1
seq,13,8192,sequential,1024,20000,1.111047,18001,140.63,1
opt,13,8192,auto,1024,20000,0.737780,27108,211.78,1
parix,13,8192,sequential,1024,20000,0.566272,35319,275.93,1
parix_opt,13,8192,auto,1024,20000,0.557813,35854,280.11,1
seq,13,16384,sequential,1024,20000,1.426555,14020,219.06,1
opt,13,16384,auto,1024,20000,1.420934,14075,219.93,1
parix,13,16384,sequential,1024,20000,1.027140,19472,304.24,1
parix_opt,13,16384,auto,1024,20000,1.024914,19514,304.90,1
seq,13,32768,sequential,1024,20000,2.635355,7589,237.16,1
opt,13,32768,auto,1024,20000,2.729306,7328,229.00,1
parix,13,32768,sequential,1024,20000,2.015849,9921,310.04,1
parix_opt,13,32768,auto,1024,20000,2.004893,9976,311.74,1
